,hex_id,geometry,population,ID_NIL,NIL
0,0,POINT (513553.9409108793 5038720.756163063),1440.38525390625,79,DERGANO
1,1,POINT (506291.8657683386 5034414.267670033),376.3989562988281,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
2,2,POINT (516696.5249359891 5030801.299464296),33.17231750488281,85,PARCO DELLE ABBAZIE
3,3,POINT (519755.6509254522 5034517.755055583),62.907596588134766,24,PARCO FORLANINI - CAVRIANO
4,4,POINT (505188.26692566735 5032766.171335073),105.72752380371094,87,ASSIANO
5,5,POINT (514138.2505849702 5027453.669837383),233.132080078125,40,RONCHETTO DELLE RANE
6,6,POINT (511802.1733780408 5038473.9589246195),1258.476806640625,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO
7,7,POINT (518911.5395247613 5040371.198597099),474.68701171875,17,ADRIANO
8,8,POINT (504540.5726726458 5034167.7130073),64.00847625732422,87,ASSIANO
9,9,POINT (514943.7603067764 5030554.788034353),125.55271911621094,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
10,10,POINT (519906.250512766 5034837.649175993),157.8258056640625,24,PARCO FORLANINI - CAVRIANO
11,11,POINT (514288.92287293554 5027773.66839818),219.06283569335938,40,RONCHETTO DELLE RANE
12,12,POINT (507703.9112913787 5040880.741768592),207.44686889648438,73,CASCINA MERLATA
13,13,POINT (511952.7773869348 5038793.666531823),1001.3255004882812,77,BOVISA
14,14,POINT (519701.32535479416 5030925.108287201),122.09306335449219,33,ROGOREDO - SANTA GIULIA
15,15,POINT (505037.59322001936 5032446.396899431),43.22572708129883,87,ASSIANO
16,16,POINT (515094.4074948788 5030874.721734618),123.58636474609375,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
17,17,POINT (518052.1667573025 5033680.617787021),497.90667724609375,29,ORTOMERCATO
18,18,POINT (507854.5150378412 5041200.34432101),405.7745361328125,73,CASCINA MERLATA
19,19,POINT (512552.0065290887 5037982.583900312),1127.7603759765625,70,GHISOLFA
20,20,POINT (515694.10526986583 5030062.789374386),267.09356689453125,38,VIGENTINO - Q.RE FATIMA
21,21,POINT (520553.2348146775 5031343.719357177),123.4863510131836,31,MONLUE' - PONTE LAMBRO
22,22,POINT (512005.11858741665 5040293.369734422),1018.2633056640625,81,BOVISASCA
23,23,POINT (513308.0840305931 5041670.766824649),1215.6719970703125,83,BRUZZANO
24,24,POINT (520762.74935756525 5039437.810928554),1024.658203125,18,CIMIANO - ROTTOLE - Q.RE FELTRE
25,25,POINT (516105.22655014094 5037886.009761625),1637.11328125,12,MACIACHINI - MAGGIOLINA
26,26,POINT (506389.79907463887 5033233.848144743),990.8126831054688,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
27,27,POINT (519054.50562946504 5034419.0758964745),462.0716552734375,24,PARCO FORLANINI - CAVRIANO
28,28,POINT (515245.05181658803 5031194.649512318),665.3670654296875,38,VIGENTINO - Q.RE FATIMA
29,29,POINT (520605.034046717 5032844.896845189),7.269264221191406,31,MONLUE' - PONTE LAMBRO
30,30,POINT (515146.56569918274 5032375.670097885),397.80865478515625,37,MORIVIONE
31,31,POINT (520703.85370818176 5031663.698718794),731.199951171875,31,MONLUE' - PONTE LAMBRO
32,32,POINT (504898.6137452468 5038396.630114974),4.747633934020996,88,PARCO BOSCO IN CITTA'
33,33,POINT (513455.5899259643 5039900.862843022),1035.473388671875,80,AFFORI
34,34,POINT (514758.6211162944 5041278.3638699185),294.2325134277344,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
35,35,POINT (517556.3566922081 5037493.236659218),1618.42138671875,20,LORETO - CASORETTO - NOLO
36,36,POINT (507840.06108873483 5032840.794960509),280.2957458496094,53,LORENTEGGIO
37,37,POINT (519903.79616720916 5032746.2411311455),580.247314453125,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
38,38,POINT (516597.9480465044 5031982.425161236),1264.58935546875,36,SCALO ROMANA
39,39,POINT (506348.34880719 5038004.050648095),99.89105987548828,88,PARCO BOSCO IN CITTA'
40,40,POINT (512754.90429124865 5039802.122281145),254.36215209960938,80,AFFORI
41,41,POINT (514057.92126595473 5041179.596271763),576.1065063476562,84,PARCO NORD
42,42,POINT (521513.23061385524 5038946.351526821),102.22499084472656,18,CIMIANO - ROTTOLE - Q.RE FELTRE
43,43,POINT (516855.4073279452 5037394.518532404),1793.158935546875,20,LORETO - CASORETTO - NOLO
44,44,POINT (515896.8634516578 5031883.798840007),414.9077453613281,36,SCALO ROMANA
45,45,POINT (505647.9238296588 5037905.368027218),209.95547485351562,63,FIGINO
46,46,POINT (511753.04997175536 5039064.006277955),135.60958862304688,77,BOVISA
47,47,POINT (513056.08286443056 5040441.489556196),1167.348876953125,80,AFFORI
48,48,POINT (515853.2886607285 5036656.214872203),1192.892822265625,10,STAZIONE CENTRALE - PONTE SEVESO
49,49,POINT (519602.5643679741 5032106.346740628),66.0580062866211,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
50,50,POINT (514894.52382857434 5031145.344748712),397.6485900878906,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
51,51,POINT (512103.378522509 5039113.368183502),544.4868774414062,77,BOVISA
52,52,POINT (513756.76136117254 5040540.241485081),1256.0916748046875,80,AFFORI
53,53,POINT (516554.2166554034 5036754.91730774),1863.5697021484375,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
54,54,POINT (519753.1817096798 5032426.296901528),745.3965454101562,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
55,55,POINT (505346.64924604207 5037266.049223472),68.08097839355469,63,FIGINO
56,56,POINT (513907.3427554374 5040859.9218610665),253.41928100585938,83,BRUZZANO
57,57,POINT (516704.81343391375 5037074.720895132),1286.4393310546875,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
58,58,POINT (505497.2879632021 5037585.71159911),158.7526092529297,63,FIGINO
59,59,POINT (514755.676762686 5039188.577775671),540.3054809570312,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
60,60,POINT (513108.3467617632 5041941.027335376),804.1150512695312,83,BRUZZANO
61,61,POINT (517553.67873043043 5035402.513909645),1593.7802734375,22,CITTA' STUDI
62,62,POINT (515905.37987204565 5038156.418249948),1752.014404296875,13,GRECO - SEGNANO
63,63,POINT (509139.86611003074 5032127.858702539),723.3052368164062,49,GIAMBELLINO
64,64,POINT (512647.1582673954 5034711.811254733),1924.2066650390625,51,PORTA MAGENTA
65,65,POINT (504699.07132385473 5038666.915167909),0.0,88,PARCO BOSCO IN CITTA'
66,66,POINT (521108.6078599843 5035305.5812676875),170.85821533203125,24,PARCO FORLANINI - CAVRIANO
67,67,POINT (515607.0561982751 5039607.046431998),1832.231689453125,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
68,68,POINT (513959.54942216544 5042359.44822029),192.20248413085938,84,PARCO NORD
69,69,POINT (518405.3230241712 5035821.05619627),1149.255615234375,22,CITTA' STUDI
70,70,POINT (516756.84745397366 5038574.912969471),818.2559814453125,13,GRECO - SEGNANO
71,71,POINT (509991.2926264256 5032546.297598888),1452.1591796875,49,GIAMBELLINO
72,72,POINT (513498.6277558754 5035130.283524539),1257.5087890625,7,MAGENTA - S. VITTORE
73,73,POINT (505550.0565043116 5039085.233178788),112.80870819091797,88,PARCO BOSCO IN CITTA'
74,74,POINT (514605.0870002575 5038868.8474212065),1226.42626953125,12,MACIACHINI - MAGGIOLINA
75,75,POINT (512957.76974848605 5041621.382188188),1036.403076171875,83,BRUZZANO
76,76,POINT (517403.0735547656 5035082.660408707),1820.41162109375,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
77,77,POINT (515754.78749710624 5037836.649851608),1874.8299560546875,12,MACIACHINI - MAGGIOLINA
78,78,POINT (512496.52826475527 5034391.997634283),1740.1287841796875,51,PORTA MAGENTA
79,79,POINT (504548.4369596158 5038347.287959415),37.998504638671875,88,PARCO BOSCO IN CITTA'
80,80,POINT (513904.31581168046 5038770.118839464),1429.6212158203125,79,DERGANO
81,81,POINT (512257.16256684985 5041522.616143825),1153.018798828125,82,COMASINA
82,82,POINT (516702.05293654255 5034983.981380325),1681.707763671875,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
83,83,POINT (504337.0478338341 5032347.808140893),1.479436993598938,87,ASSIANO
84,84,POINT (515053.93077086785 5037737.933260956),1359.35986328125,11,ISOLA
85,85,POINT (503436.9659000908 5032519.693258302),108.27781677246094,87,ASSIANO
86,86,POINT (511795.70739351155 5034293.348745145),1760.091064453125,51,PORTA MAGENTA
87,87,POINT (520856.8333909533 5034075.297432385),15.74709415435791,31,MONLUE' - PONTE LAMBRO
88,88,POINT (515355.11976995034 5038377.452724143),1717.01513671875,12,MACIACHINI - MAGGIOLINA
89,89,POINT (518153.4496037597 5034590.945104899),1518.293701171875,25,CORSICA
90,90,POINT (509739.05288929027 5031316.217211005),338.6852722167969,86,PARCO DEI NAVIGLI
91,91,POINT (513246.55511412123 5033900.316895618),1563.230224609375,7,MAGENTA - S. VITTORE
92,92,POINT (514657.2536409571 5040368.682585929),1324.678955078125,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
93,93,POINT (510001.5142455187 5038817.212891441),1353.1854248046875,72,MAGGIORE - MUSOCCO - CERTOSA
94,94,POINT (517455.0677754506 5036583.160958701),1843.298095703125,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
95,95,POINT (519002.60968291084 5032918.195377266),376.8713684082031,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI
96,96,POINT (515946.1292044144 5031293.262269021),974.252685546875,38,VIGENTINO - Q.RE FATIMA
97,97,POINT (509041.7590206408 5033308.517764064),406.9115905761719,53,LORENTEGGIO
98,98,POINT (514196.49501594587 5033138.045786952),1788.0076904296875,6,PORTA TICINESE - CONCA DEL NAVIGLIO
99,99,POINT (512548.8464166313 5035892.328973363),1318.2508544921875,68,PAGANO
100,100,POINT (515960.2909830533 5041746.205986382),233.18463134765625,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
101,101,POINT (507549.6640708053 5038471.747340462),450.71160888671875,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
102,102,POINT (514807.8325562418 5040688.377450541),923.5738525390625,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
103,103,POINT (510152.1231704351 5039136.891530476),817.2235107421875,72,MAGGIORE - MUSOCCO - CERTOSA
104,104,POINT (517605.66209046904 5036902.979035229),1742.0992431640625,22,CITTA' STUDI
105,105,POINT (509192.4106051569 5033628.317613493),1399.9761962890625,53,LORENTEGGIO
106,106,POINT (514347.12698475807 5033457.909029147),1605.47900390625,6,PORTA TICINESE - CONCA DEL NAVIGLIO
107,107,POINT (512699.46561865584 5036212.107195136),1750.8560791015625,68,PAGANO
108,108,POINT (517898.9024050645 5031269.175771994),1050.983642578125,35,LODI - CORVETTO
109,109,POINT (507700.28539852647 5038791.406081637),561.2361450195312,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
110,110,POINT (515407.2385663869 5039877.3950425275),1143.684326171875,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
111,111,POINT (510751.19846792566 5038325.89349535),1225.0087890625,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO
112,112,POINT (518205.3960866203 5036091.552754414),1069.788818359375,22,CITTA' STUDI
113,113,POINT (509791.5604080486 5032816.818432306),1143.140869140625,53,LORENTEGGIO
114,114,POINT (514946.6943193778 5032646.245665752),560.5734252929688,5,PORTA VIGENTINA - PORTA LODOVICA
115,115,POINT (513298.82550866186 5035400.755283159),1212.8433837890625,7,MAGENTA - S. VITTORE
116,116,POINT (516710.32742436323 5041254.995359953),1097.6348876953125,15,BICOCCA
117,117,POINT (508299.1735309306 5037980.445153869),866.1396484375,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
118,118,POINT (518750.72411309206 5031687.756359961),394.34381103515625,33,ROGOREDO - SANTA GIULIA
119,119,POINT (512804.05702226766 5039212.095223074),541.6246948242188,77,BOVISA
120,120,POINT (513805.9434367473 5039950.2347383285),1113.0240478515625,80,AFFORI
121,121,POINT (509150.334580425 5038398.824160923),829.089111328125,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
122,122,POINT (516603.49269804667 5036164.639426979),1780.705078125,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
123,123,POINT (508190.40176884003 5032890.099559152),139.08151245117188,53,LORENTEGGIO
124,124,POINT (513344.9181695599 5032719.546853852),779.88427734375,44,PORTA TICINESE - CONCHETTA
125,125,POINT (511697.44617244834 5035473.877440205),1712.530517578125,58,DE ANGELI - MONTE ROSA
126,126,POINT (517748.26933730656 5030949.219241373),714.167236328125,35,LODI - CORVETTO
